date,dji,eur,10yr_R,eu_money,us_money,ip,coal,nok,usd-nok
2010-01,"10,067.33",1.3863,3.588,1155,1995,89.1936,95.3,5.927,0.16871942
2010-02,"10,325.26",1.3626,3.619,1163,2115.2,89.5089,93.85,5.9058,0.16932507
2010-03,"10,856.63",1.3512,3.833,1183,2079.6,90.1449,94.95,5.9395,0.16836434
2010-04,"11,008.61",1.3298,3.659,1206,2014.4,90.4740,103.85,5.906,0.169319336
2010-05,"10,136.63",1.2306,3.303,1227,2012.3,91.7131,100.2,6.455,0.154918668
2010-06,"9,774.02",1.2236,2.935,1308,2002.4,91.9287,98.9,6.497,0.153917193
2010-07,"10,465.94",1.3048,2.905,1258,1994.3,92.2737,96.2,6.0749,0.164611763
2010-08,"10,014.72",1.2687,2.47,1132,1993.7,92.6150,94.15,6.2942,0.158876426
2010-09,"10,788.05",1.3633,2.512,1115,1961.2,92.8668,95.94,5.8769,0.170157736
2010-10,"11,118.49",1.395,2.603,1096,1961.7,92.6138,97.4,5.8446,0.171098108
2010-11,"11,006.02",1.298,2.797,1071,1973.1,92.6772,112.3,6.2111,0.161002077
2010-12,"11,577.51",1.3379,3.288,1073,2017,93.5741,122.65,5.8243,0.171694453
2011-01,"11,891.93",1.3686,3.374,1113,2047.9,93.3793,129.4,5.777,0.173100225
2011-02,"12,226.34",1.3802,3.422,1075,2211.6,93.0051,130.95,5.5991,0.178600132
2011-03,"12,319.73",1.4165,3.47,1061,2395.3,93.9780,123.2,5.5355,0.180652154
2011-04,"12,810.54",1.4799,3.29,1058,2496.6,93.6525,122.8,5.2466,0.190599626
2011-05,"12,569.79",1.4394,3.059,1066,2567.2,93.7878,120.95,5.378,0.18594273
2011-06,"12,414.34",1.4504,3.16,1064,2648.5,94.0378,121.3,5.3827,0.18578037
2011-07,"12,143.24",1.4395,2.793,1087,2684.8,94.5146,121.05,5.3704,0.186205869
2011-08,"11,613.53",1.4377,2.234,1122,2657.7,95.1263,122.85,5.36,0.186567164
2011-09,"10,913.38",1.3384,1.917,1185,2637.7,95.0732,123.2,5.8625,0.170575693
2011-10,"11,955.01",1.3856,2.116,1232,2637.8,95.7291,118.5,5.5509,0.180150967
2011-11,"12,045.68",1.3441,2.072,1275,2605.4,95.7455,111.6,5.7718,0.173256177
2011-12,"12,217.56",1.2945,1.876,1335,2619.6,96.2147,112.25,5.9766,0.167319212
2012-01,"12,632.91",1.3078,1.795,1495,2640.8,96.8051,117.45,5.8658,0.17047973
2012-02,"12,952.07",1.3324,1.974,1467,2694.4,97.1033,112.1,5.5864,0.179006158
2012-03,"13,212.04",1.3343,2.214,1599,2655.2,96.5973,107,5.691,0.175716043
2012-04,"13,213.63",1.324,1.919,1752,2639.8,97.3006,100.75,5.721,0.174794616
2012-05,"12,393.45",1.2356,1.563,1755,2616.5,97.5046,91.45,6.117,0.163478829
2012-06,"12,880.09",1.2658,1.643,1762,2618.8,97.4903,88.4,5.953,0.16798253
2012-07,"13,008.68",1.2303,1.47,1775,2647.8,97.7234,90.15,6.0242,0.165997145
2012-08,"13,090.84",1.2575,1.548,1751,2650.7,97.3130,91.75,5.7973,0.172494092
2012-09,"13,437.13",1.2858,1.633,1766,2594.9,97.2405,89.5,5.72,0.174825175
2012-10,"13,096.46",1.2958,1.694,1736,2611.8,97.5610,83.6,5.7003,0.175429363
2012-11,"13,025.58",1.2984,1.616,1675,2646.8,97.9589,85.9,5.6651,0.176519391
2012-12,"13,104.14",1.3194,1.757,1631,2675.9,98.2061,93.75,5.563,0.179759123
2013-01,"13,860.58",1.3578,1.985,1631,2741.7,98.1990,95.2,5.4652,0.18297592
